date,temp,dew_pt,hum,wind_spd,wind_gust,dir,vis,pressure,wind_chill,heat_index,precip,precip_rate,precip_total,cond,fog,rain,snow,hail,thunder,tornado
2016-12-31T22:00:00Z,-9,-9,100,3.7,NA,Variable,7,1028,NA,NA,NA,NA,NA,Unknown,0,0,0,0,0,0
2016-12-31T22:30:00Z,-10,-10,100,5.6,NA,WNW,6,1027,-13.2,NA,NA,NA,NA,Unknown,0,0,0,0,0,0
2016-12-31T23:00:00Z,-9,-9,100,0,NA,North,6,1027,NA,NA,NA,NA,NA,Unknown,0,0,0,0,0,0
2016-12-31T23:30:00Z,-11,-12,92,1.9,NA,NE,5,1027,NA,NA,NA,NA,NA,Mist,0,0,0,0,0,0
2017-01-01T00:00:00Z,-10,-11,91,0,NA,,12,1033,NA,NA,NA,NA,NA,,0,0,0,0,0,0
2017-01-01T00:00:00Z,-10,-11,93,3.7,NA,Variable,4,1027,NA,NA,NA,NA,NA,Mist,0,0,0,0,0,0
2017-01-01T00:30:00Z,-11,-12,92,7.4,NA,East,4,1027,-15.4,NA,NA,NA,NA,Mist,0,0,0,0,0,0
2017-01-01T01:00:00Z,-13,-14,92,5.6,NA,ESE,4,1027,-16.7,NA,NA,NA,NA,Mist,0,0,0,0,0,0
2017-01-01T01:30:00Z,-13,-14,92,3.7,NA,East,3,1027,NA,NA,NA,NA,NA,Mist,0,0,0,0,0,0
2017-01-01T02:00:00Z,-13,-14,92,5.6,NA,ESE,3,1026,-16.7,NA,NA,NA,NA,Mist,0,0,0,0,0,0
2017-01-01T02:30:00Z,-15,-16,92,5.6,NA,East,4,1026,-19,NA,NA,NA,NA,Mist,0,0,0,0,0,0
2017-01-01T03:00:00Z,-11,-12,87,0,NA,,12,1032,NA,NA,NA,NA,NA,,0,0,0,0,0,0
2017-01-01T03:00:00Z,-14,-15,92,3.7,NA,Variable,4,1026,NA,NA,NA,NA,NA,Mist,0,0,0,0,0,0
2017-01-01T03:30:00Z,-14,-15,92,3.7,NA,Variable,4,1026,NA,NA,NA,NA,NA,Mist,0,0,0,0,0,0
2017-01-01T04:00:00Z,-13,-14,92,5.6,NA,East,5,1026,-16.7,NA,NA,NA,NA,Mist,0,0,0,0,0,0
2017-01-01T04:30:00Z,-12,-13,92,5.6,NA,East,5,1026,-15.5,NA,NA,NA,NA,Partly Cloudy,0,0,0,0,0,0
2017-01-01T05:00:00Z,-12,-13,92,5.6,NA,ESE,0.4,1026,-15.5,NA,NA,NA,NA,Light Freezing Fog,1,0,0,0,0,0
2017-01-01T05:30:00Z,-12,-14,85,3.7,NA,Variable,0.4,1026,NA,NA,NA,NA,NA,Light Freezing Fog,1,0,0,0,0,0
2017-01-01T06:00:00Z,-12,-12,100,0,NA,,16,1031,NA,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0
2017-01-01T06:00:00Z,-13,-14,92,5.6,NA,SSE,0.3,1026,-16.7,NA,NA,NA,NA,Light Freezing Fog,1,0,0,0,0,0
2017-01-01T06:30:00Z,-13,-14,92,3.7,NA,SE,0.2,1026,NA,NA,NA,NA,NA,Light Freezing Fog,1,0,0,0,0,0
2017-01-01T07:00:00Z,-12,-13,92,1.9,NA,Variable,0.2,1026,NA,NA,NA,NA,NA,Light Freezing Fog,1,0,0,0,0,0
2017-01-01T07:30:00Z,-12,-13,92,3.7,NA,SSE,0.1,1026,NA,NA,NA,NA,NA,Light Freezing Fog,1,0,0,0,0,0
2017-01-01T08:00:00Z,-10,-11,93,3.7,NA,NNE,0.3,1026,NA,NA,NA,NA,NA,Light Freezing Fog,1,0,0,0,0,0
2017-01-01T08:30:00Z,-12,-12,100,3.7,NA,Variable,0.9,1026,NA,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0
2017-01-01T09:00:00Z,-5,-8,75,7.2,NA,SE,16,1029,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0
2017-01-01T09:00:00Z,-9,-9,100,1.9,NA,Variable,2,1025,NA,NA,NA,NA,NA,Partly Cloudy,0,0,0,0,0,0
2017-01-01T09:30:00Z,-7,-8,93,3.7,NA,East,2.3,1025,NA,NA,NA,NA,NA,Mist,0,0,0,0,0,0
2017-01-01T10:00:00Z,-6,-6,100,3.7,NA,Variable,3.5,1024,NA,NA,NA,NA,NA,Mist,0,0,0,0,0,0
2017-01-01T10:30:00Z,-6,-6,100,0,NA,North,5,1024,NA,NA,NA,NA,NA,Mist,0,0,0,0,0,0
2017-01-01T11:00:00Z,-7,-7,100,0,NA,North,4,1023,NA,NA,NA,NA,NA,Mist,0,0,0,0,0,0
2017-01-01T11:30:00Z,-5,-5,100,3.7,NA,Variable,4,1023,NA,NA,NA,NA,NA,Mist,0,0,0,0,0,0
2017-01-01T12:00:00Z,-3,-6,69,0,NA,,15,1026,NA,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0
2017-01-01T12:00:00Z,-4,-5,93,1.9,NA,Variable,4,1023,NA,NA,NA,NA,NA,Mist,0,0,0,0,0,0
2017-01-01T12:30:00Z,-3,-5,86,3.7,NA,ESE,4.5,1022,NA,NA,NA,NA,NA,Mist,0,0,0,0,0,0
2017-01-01T13:00:00Z,-2,-6,74,5.6,NA,ESE,4.5,1022,-4.1,NA,NA,NA,NA,Mist,0,0,0,0,0,0
2017-01-01T13:30:00Z,-2,-6,74,7.4,NA,East,6,1022,-4.9,NA,NA,NA,NA,Unknown,0,0,0,0,0,0
2017-01-01T14:00:00Z,-2,-6,74,9.3,NA,East,7,1022,-5.5,NA,NA,NA,NA,Unknown,0,0,0,0,0,0
2017-01-01T14:30:00Z,-4,-7,80,9.3,NA,ENE,7,1022,-7.8,NA,NA,NA,NA,Unknown,0,0,0,0,0,0
2017-01-01T15:00:00Z,-2,-5,68,0,NA,,14,1025,NA,NA,NA,NA,NA,Clear,0,0,0,0,0,0
2017-01-01T15:00:00Z,-4,-6,86,9.3,NA,East,6,1022,-7.8,NA,NA,NA,NA,Unknown,0,0,0,0,0,0
2017-01-01T15:30:00Z,-5,-7,86,7.4,NA,ESE,6,1022,-8.4,NA,NA,NA,NA,Unknown,0,0,0,0,0,0
2017-01-01T16:00:00Z,-5,-7,86,7.4,NA,SE,6,1022,-8.4,NA,NA,NA,NA,Unknown,0,0,0,0,0,0
2017-01-01T16:30:00Z,-5,-7,86,7.4,NA,SSE,5,1022,-8.4,NA,NA,NA,NA,Mist,0,0,0,0,0,0
2017-01-01T17:00:00Z,-6,-9,80,5.6,NA,SSE,NA,1022,-8.7,NA,NA,NA,NA,Mist,0,0,0,0,0,0
